time,x,y,z,degree,deltax,deltay,deltaz,resultant,moving,Turning
2.96733E+14,0.29431152,8.750549,4.5798645,0,0.02154541,0.014359,-0.0813599,0.085380436,0,Not
2.96733E+14,0.31585693,8.764908,4.4985046,0,0.004776,0.009567,-0.1698913,0.17022747,0,Not
2.96733E+14,0.32063293,8.774475,4.3286133,0,0.00718689,-0.031097,0.1555327,0.158773724,0,Not
2.96733E+14,0.32781982,8.743378,4.484146,-288.68723,-0.04547119,0.023925,0.0885316,0.102361511,0,Not
2.96733E+14,0.28234863,8.767303,4.5726776,-288.5769,-0.0430603,-0.002395,-0.1172486,0.124928618,0,Not
2.96733E+14,0.23928833,8.764908,4.455429,-288.56638,-0.01914978,0.033508,-0.114853,0.121163987,0,Not
2.96733E+14,0.22013855,8.798416,4.340576,-288.78934,0.00956726,0.004776,0.1651155,0.165461388,0,Not
2.96733E+14,0.22970581,8.803192,4.5056915,-289.11362,0.06222534,-0.055038,0.1100615,0.137893829,0,Not
2.96733E+14,0.29193115,8.748154,4.615753,-289.20712,0.08134461,0.004791,-0.14357,0.165082537,0,Not
2.96733E+14,0.37327576,8.752945,4.472183,-289.05597,-0.11724854,0.026321,-0.02153,0.122080122,0,Not
2.96733E+14,0.25602722,8.779266,4.450653,-289.85245,-0.133987425,0.035889,0.02153,0.140371618,0,Not
2.96733E+14,0.122039795,8.815155,4.472183,-289.93387,0.105285645,-0.038284,-0.055038,0.124819522,0,Not
2.96733E+14,0.22732544,8.776871,4.417145,-290.21,0.08853149,-0.031098,-0.0215304,0.096272885,0,Not
2.96733E+14,0.31585693,8.745773,4.3956146,-290.30606,-0.07418823,0.040665,0.0167544,0.086245264,0,Not
2.96733E+14,0.2416687,8.786438,4.412369,-290.26562,-0.03109741,0.0143585,-0.0287173,0.044697861,0,Not
2.96733E+14,0.21057129,8.8007965,4.3836517,-290.3337,0.08374023,-0.0167385,-0.0071717,0.085697356,0,Not
2.96733E+14,0.29431152,8.784058,4.37648,-290.45117,0.02394104,-0.016755,0.0885316,0.093229543,0,Not
2.96733E+14,0.31825256,8.767303,4.4650116,-290.44907,-0.13160705,0.016755,-0.0095826,0.133014931,0,Not
2.96733E+14,0.18664551,8.784058,4.455429,-290.3739,-0.03590393,-0.002396,-0.1459502,0.150320637,0,Not
2.96733E+14,0.15074158,8.781662,4.3094788,-290.46835,0.01435852,0,-0.0717928,0.07321457,0,Not
2.96733E+14,0.1651001,8.781662,4.237686,-291.20444,0.04786682,0.02153,0.114853,0.126277413,0,Not
2.96733E+14,0.21296692,8.803192,4.352539,-291.38644,0.25842285,-0.064606,0.2153626,0.342545404,0,Not
2.96733E+14,0.47138977,8.738586,4.5679016,-291.45767,0.09570313,-0.031097,0.10289,0.143918257,0,Not
2.96733E+14,0.5670929,8.707489,4.6707916,-291.1498,-0.32063294,0.086136,-0.1196441,0.352901691,0,Not
2.96733E+14,0.24645996,8.793625,4.5511475,-290.72772,-0.28713989,0.069397,-0.2608185,0.394070489,0,Not
2.96734E+14,-0.04067993,8.863022,4.290329,-290.72952,0.088531492,-0.026322,-0.06221,0.111358686,0,Not
2.96734E+14,0.047851562,8.8367,4.228119,-291.12427,0.366104138,-0.122039,0.2201384,0.444282199,1,Not
