time,x,y,z,degree,deltax,deltay,deltaz,resultant,moving,Turning
2.96733E+14,0.29431152,8.750549,4.5798645,0,0.294312,8.750549,4.579865,9.880986,1, 
2.96733E+14,0.31585693,8.764908,4.4985046,0,0.021545,0.014359,-0.081360,0.085380,0, 
2.96733E+14,0.32063293,8.774475,4.3286133,0,0.004776,0.009567,-0.169891,0.170228,0, 
2.96733E+14,0.32781982,8.743378,4.484146,-288.68723,0.007187,-0.031097,0.155533,0.158774,0, 
2.96733E+14,0.28234863,8.767303,4.5726776,-288.5769,-0.045471,0.023926,0.088531,0.102362,0, 
2.96733E+14,0.23928833,8.764908,4.455429,-288.56638,-0.043060,-0.002396,-0.117249,0.124929,0, 
2.96733E+14,0.22013855,8.798416,4.340576,-288.78934,-0.019150,0.033508,-0.114853,0.121164,0, 
2.96733E+14,0.22970581,8.803192,4.5056915,-289.11362,0.009567,0.004776,0.165115,0.165461,0, 
2.96733E+14,0.29193115,8.748154,4.615753,-289.20712,0.062225,-0.055038,0.110062,0.137894,0, 
2.96733E+14,0.37327576,8.752945,4.472183,-289.05597,0.081345,0.004791,-0.143570,0.165082,0, 
2.96733E+14,0.25602722,8.779266,4.450653,-289.85245,-0.117249,0.026321,-0.021530,0.122080,0, 
2.96733E+14,0.122039795,8.815155,4.472183,-289.93387,-0.133987,0.035889,0.021530,0.140372,0, 
2.96733E+14,0.22732544,8.776871,4.417145,-290.21,0.105286,-0.038284,-0.055038,0.124820,0, 
2.96733E+14,0.31585693,8.745773,4.3956146,-290.30606,0.088531,-0.031097,-0.021530,0.096273,0, 
2.96733E+14,0.2416687,8.786438,4.412369,-290.26562,-0.074188,0.040665,0.016754,0.086245,0, 
2.96733E+14,0.21057129,8.8007965,4.3836517,-290.3337,-0.031097,0.014359,-0.028717,0.044698,0, 
2.96733E+14,0.29431152,8.784058,4.37648,-290.45117,0.083740,-0.016739,-0.007172,0.085697,0, 
2.96733E+14,0.31825256,8.767303,4.4650116,-290.44907,0.023941,-0.016754,0.088531,0.093229,0, 
2.96733E+14,0.18664551,8.784058,4.455429,-290.3739,-0.131607,0.016754,-0.009583,0.133015,0, 
2.96733E+14,0.15074158,8.781662,4.3094788,-290.46835,-0.035904,-0.002396,-0.145950,0.150321,0, 
2.96733E+14,0.1651001,8.781662,4.237686,-291.20444,0.014359,-0.000000,-0.071793,0.073214,0, 
2.96733E+14,0.21296692,8.803192,4.352539,-291.38644,0.047867,0.021530,0.114853,0.126277,0, 
2.96733E+14,0.47138977,8.738586,4.5679016,-291.45767,0.258423,-0.064606,0.215363,0.342545,0, 
2.96733E+14,0.5670929,8.707489,4.6707916,-291.1498,0.095703,-0.031097,0.102890,0.143918,0, 
2.96733E+14,0.24645996,8.793625,4.5511475,-290.72772,-0.320633,0.086136,-0.119644,0.352902,0, 
2.96734E+14,-0.04067993,8.863022,4.290329,-290.72952,-0.287140,0.069397,-0.260818,0.394070,0, 
2.96734E+14,0.047851562,8.8367,4.228119,-291.12427,0.088531,-0.026321,-0.062210,0.111359,0, 
2.96734E+14,0.4139557,8.714661,4.4482574,-291.4187,0.366104,-0.122040,0.220139,0.444282,0, 
2.96734E+14,0.7920227,8.606979,4.6995087,-291.23447,0.378067,-0.107681,0.251251,0.466537,0, 
2.96734E+14,0.59103394,8.671585,4.7736816,-290.6013,-0.200989,0.064606,0.074173,0.223768,0, 
2.96734E+14,0.107681274,8.843872,4.5056915,-291.03348,-0.483353,0.172287,-0.267990,0.578905,0, 
2.96734E+14,-0.17706299,8.932404,4.266403,-291.22052,-0.284744,0.088531,-0.239288,0.382330,0, 
2.96734E+14,0.14117432,8.810379,4.3621216,-291.74713,0.318237,-0.122025,0.095718,0.354015,0, 
2.96734E+14,0.5096741,8.681168,4.6205444,-291.89764,0.368500,-0.129211,0.258423,0.468263,0, 
2.96734E+14,0.41874695,8.695511,4.5750732,-291.6026,-0.090927,0.014343,-0.045471,0.102670,0, 
2.96734E+14,0.1268158,8.812759,4.2807617,-291.42584,-0.291931,0.117249,-0.294312,0.430802,0, 
2.96734E+14,0.033493042,8.839081,4.2640076,-291.62872,-0.093323,0.026321,-0.016754,0.098400,0, 
2.96734E+14,0.18664551,8.791229,4.496109,-291.90894,0.153152,-0.047852,0.232101,0.282164,0, 
2.96734E+14,0.38046265,8.750549,4.5559387,-291.95847,0.193817,-0.040680,0.059830,0.206880,0, 
2.96734E+14,0.4355011,8.73381,4.515259,-291.8148,0.055038,-0.016739,-0.040680,0.070458,0, 
2.96734E+14,0.3254242,8.752945,4.524826,-291.07703,-0.110077,0.019135,0.009567,0.112136,0, 
2.96734E+14,0.19142151,8.817551,4.3836517,-291.0096,-0.134003,0.064606,-0.141174,0.205087,0, 
2.96734E+14,0.17706299,8.793625,4.3094788,-291.11102,-0.014359,-0.023926,-0.074173,0.079248,0, 
2.96734E+14,0.32781982,8.736191,4.3740845,-291.23618,0.150757,-0.057434,0.064606,0.173782,0, 
2.96734E+14,0.4019928,8.731415,4.512863,-291.20154,0.074173,-0.004776,0.138779,0.157429,0, 
2.96734E+14,0.3637085,8.745773,4.520035,-291.06677,-0.038284,0.014359,0.007172,0.041512,0, 
2.96734E+14,0.27757263,8.784058,4.441086,-290.97147,-0.086136,0.038284,-0.078949,0.122955,0, 
2.96734E+14,0.1986084,8.8007965,4.4578247,-290.98056,-0.078964,0.016739,0.016739,0.082436,0, 
2.96734E+14,0.23210144,8.793625,4.4482574,-291.04974,0.033493,-0.007172,-0.009567,0.035563,0, 
2.96734E+14,0.26081848,8.772095,4.443466,-291.08997,0.028717,-0.021530,-0.004791,0.036210,0, 
2.96734E+14,0.24645996,8.779266,4.4530487,-290.43362,-0.014359,0.007172,0.009583,0.018693,0, 
2.96734E+14,0.24645996,8.784058,4.4865417,-290.4554,-0.000000,0.004791,0.033493,0.033834,0, 
2.96734E+14,0.2632141,8.786438,4.4362946,-290.467,0.016754,0.002380,-0.050247,0.053020,0, 
2.96734E+14,0.3014984,8.762512,4.405182,-290.47998,0.038284,-0.023926,-0.031113,0.054828,0, 
2.96734E+14,0.31106567,8.767303,4.4362946,-290.46765,0.009567,0.004791,0.031113,0.032901,0, 
2.96734E+14,0.29670715,8.772095,4.474579,-290.44052,-0.014359,0.004791,0.038284,0.041168,0, 
2.96734E+14,0.275177,8.779266,4.4362946,-290.41574,-0.021530,0.007172,-0.038284,0.044505,0, 
2.96734E+14,0.29431152,8.767303,4.4027863,-290.4209,0.019135,-0.011963,-0.033508,0.040399,0, 
2.96734E+14,0.28474426,8.774475,4.4267273,-290.41873,-0.009567,0.007172,0.023941,0.026761,0, 
2.96734E+14,0.2416687,8.779266,4.4578247,-290.41837,-0.043076,0.004791,0.031097,0.053343,0, 
2.96734E+14,0.21534729,8.7960205,4.409973,-290.62314,-0.026321,0.016754,-0.047852,0.057125,0, 
2.96734E+14,0.21534729,8.805588,4.4243317,-290.6823,-0.000000,0.009567,0.014359,0.017254,0, 
2.96734E+14,0.2679901,8.781662,4.4889374,-290.73587,0.052643,-0.023926,0.064606,0.086704,0, 
2.96734E+14,0.32781982,8.755341,4.5224304,-290.7247,0.059830,-0.026321,0.033493,0.073445,0, 
2.96734E+14,0.3756714,8.745773,4.484146,-290.6554,0.047852,-0.009567,-0.038284,0.062024,0, 
2.96734E+14,0.28474426,8.760132,4.4362946,-290.56317,-0.090927,0.014359,-0.047852,0.103748,0, 
2.96734E+14,0.23210144,8.774475,4.443466,-290.55963,-0.052643,0.014343,0.007172,0.055031,0, 
2.96734E+14,0.27038574,8.769699,4.4889374,-290.59595,0.038284,-0.004776,0.045471,0.059633,0, 
2.96734E+14,0.31106567,8.755341,4.5296173,-290.58835,0.040680,-0.014359,0.040680,0.059295,0, 
2.96734E+14,0.27038574,8.762512,4.5176544,-290.5373,-0.040680,0.007172,-0.011963,0.043005,0, 
2.96734E+14,0.22970581,8.791229,4.455429,-289.88632,-0.040680,0.028717,-0.062225,0.079696,0, 
2.96734E+14,0.2416687,8.791229,4.4315033,-289.9252,0.011963,-0.000000,-0.023926,0.026750,0, 
2.96734E+14,0.28474426,8.755341,4.4769745,-289.95987,0.043076,-0.035889,0.045471,0.072188,0, 
2.96734E+14,0.34695435,8.846268,4.4315033,-289.94263,0.062210,0.090927,-0.045471,0.119187,0, 
2.96734E+14,0.4402771,8.539978,4.5750732,-289.90808,0.093323,-0.306290,0.143570,0.350906,0, 
2.96734E+14,-0.026321411,8.937195,4.240082,-289.71768,-0.466599,0.397217,-0.334991,0.698366,0, 
2.96735E+14,0.062210083,8.791229,4.342972,-290.0353,0.088531,-0.145966,0.102890,0.199324,0, 
2.96735E+14,0.42114258,8.748154,4.4937286,-290.2204,0.358932,-0.043076,0.150757,0.391683,0, 
2.96735E+14,0.5096741,8.731415,4.5702972,-290.08414,0.088531,-0.016739,0.076569,0.118240,0, 
2.96735E+14,0.13160706,8.767303,4.450653,-289.86673,-0.378067,0.035889,-0.119644,0.398168,0, 
2.96735E+14,0.035888672,8.932404,4.1515503,-289.61652,-0.095718,0.165100,-0.299103,0.354799,0, 
2.96735E+14,0.36131287,8.702698,4.548752,-289.89838,0.325424,-0.229706,0.397202,0.562525,0, 
2.96735E+14,0.5790558,8.690735,4.594223,-289.78198,0.217743,-0.011963,0.045471,0.222762,0, 
2.96735E+14,0.4355011,8.736191,4.4602203,-289.4993,-0.143555,0.045456,-0.134003,0.201571,0, 
2.96735E+14,0.14356995,8.772095,4.347763,-289.3797,-0.291931,0.035904,-0.112457,0.314896,0, 
2.96735E+14,0.122039795,8.865402,4.278366,-289.51404,-0.021530,0.093307,-0.069397,0.118261,0, 
2.96735E+14,0.31585693,8.705093,4.5391846,-289.69147,0.193817,-0.160309,0.260818,0.362340,0, 
2.96735E+14,0.34695435,8.803192,4.4817505,-289.62225,0.031097,0.098099,-0.057434,0.117852,0, 
2.96735E+14,0.25125122,8.824738,4.524826,-289.56552,-0.095703,0.021545,0.043076,0.107139,0, 
2.96735E+14,0.29193115,8.772095,4.4985046,-289.57275,0.040680,-0.052643,-0.026321,0.071547,0, 
2.96735E+14,0.35414124,8.786438,4.412369,-289.79752,0.062210,0.014343,-0.086136,0.107216,0, 
